,train-loss,train-acc,vali-loss,vali-acc,elapse-time
0,0.7743667212666058,0.5041,0.7086636326671426,0.4575,42.76467418670654
1,0.7467879801988602,0.5164,0.7650538437506732,0.5359,
2,0.8136787824943418,0.4795,0.7639324226800133,0.4575,
3,0.7754283444803269,0.5082,0.676179277741052,0.5752,
4,0.7747508233687916,0.5,0.710021952788035,0.6471,
5,0.7493863740905387,0.5041,0.8777708210586722,0.4575,
6,0.704356425609745,0.5451,0.8683483756445591,0.4575,
7,0.7475408291230436,0.5123,0.6856245963402043,0.5425,
8,0.6817359855917634,0.5574,0.664696641996795,0.6209,
9,0.6897353940322751,0.5246,0.6958268686057696,0.4902,
10,0.6769481193823893,0.5984,0.6656707381111344,0.6209,
11,0.7036278155006346,0.5328,0.6868810264113682,0.5359,
12,0.6782427127244043,0.5697,0.6744073021645639,0.5686,
13,0.6648593183423652,0.627,0.6600459282304726,0.6471,
14,0.6611134815411489,0.6066,0.6575320125405305,0.634,
15,0.6691104417941609,0.5861,0.6611671642540327,0.6536,
16,0.6761941118318526,0.5779,0.6617933087099611,0.6471,
17,0.6549078592511474,0.6148,0.6602373826347925,0.6601,
18,0.6753086589398931,0.5779,0.6638915289461224,0.6275,
19,0.6734894220946265,0.5861,0.6625495603661132,0.6405,
20,0.6688793203869804,0.5779,0.6764902936087714,0.5948,
21,0.6621654786047388,0.5902,0.6610153936872295,0.6471,
22,0.6623672017308532,0.5779,0.6645866203931422,0.6013,
23,0.6519450657680387,0.6434,0.6662252381736157,0.6013,
24,0.670438389309117,0.5943,0.659848534982968,0.6536,
