,train-loss,train-acc,vali-loss,vali-acc,elapse-time
0,0.7999008561744064,0.5123,0.739977083175011,0.4575,43.44520115852356
1,0.8545200985963227,0.5697,0.665687268855525,0.6013,
2,0.7084769313452673,0.5984,0.595572689000298,0.6993,
3,0.7123420431477124,0.5902,0.7113973531458113,0.6601,
4,0.7958591609704689,0.5574,0.6517994863535065,0.5948,
5,0.7114718458691581,0.5533,0.7848844345099006,0.7386,
6,0.7088348181521307,0.582,0.5927502688239602,0.7386,
7,0.6272185034439212,0.6557,0.6216246902553084,0.7124,
8,0.6662180443279079,0.6107,0.6189874987197078,0.6863,
9,0.6299373062907673,0.6598,0.5996779955290501,0.7386,
10,0.6262311402891503,0.6926,0.6266521418016721,0.7124,
11,0.6317738343457706,0.6311,0.5847798959881652,0.732,
12,0.6304182014504417,0.6516,0.5859923508821749,0.7451,
13,0.6259460385705604,0.6475,0.6391725131109649,0.6667,
14,0.6072448628847716,0.6926,0.5784405310169544,0.7386,
15,0.6261184161803761,0.6844,0.6080654242069893,0.719,
16,0.6004742892062078,0.6926,0.6115545112323137,0.7059,
17,0.6549242207261382,0.6516,0.5842835030524559,0.7386,
18,0.5992628179612707,0.7008,0.5911909789820902,0.7255,
19,0.587830081337788,0.6926,0.6029900589020424,0.7451,
20,0.6088643547941427,0.6721,0.5922894777815326,0.732,
21,0.6602722152334745,0.623,0.6386361507808461,0.7124,
22,0.6146142087021812,0.6844,0.6012771659427218,0.7124,
23,0.5950036845246299,0.6803,0.576701880085702,0.7386,
24,0.625633038458277,0.6557,0.5971838925399032,0.7059,
